name,category,price,quality,reliability,moq,delivery_time,reviews,historical_score
Supplier_82,Pets,3238,9.3,100,25,1,4.8,64.03
Supplier_83,Auto,13229,6.7,76,7,14,4.0,38.28
Supplier_84,Kitchen,10290,6.3,87,13,1,3.6,51.49
Supplier_85,Gardening,592,7.4,84,28,8,4.2,41.58
Supplier_86,Stationery,149,7.9,97,2105,11,3.7,45.18
Supplier_87,Auto,5803,7.2,79,5,1,3.7,53.28
Supplier_88,Appliances,92510,7.3,76,2,14,4.4,43.6
Supplier_89,Camera,162345,6.4,98,1,8,4.5,52.8
Supplier_90,Toys,1792,7.2,89,83,4,4.4,44.65
Supplier_91,Appliances,52635,6.9,89,1,8,3.9,51.83
Supplier_92,Laptop,128624,8.2,88,3,2,3.5,52.69
Supplier_93,Gardening,210,9.8,75,78,6,3.5,50.06
Supplier_94,Pets,4583,8.5,80,10,10,3.2,44.99
Supplier_95,Camera,67906,9.0,84,2,11,3.9,48.39
Supplier_96,Grocery,654,7.5,79,655,4,3.1,39.64
Supplier_97,Furniture,71078,6.1,74,4,2,3.7,44.41
Supplier_98,Solar,373551,6.6,93,5,3,4.4,46.88
Supplier_99,Solar,273557,6.1,98,3,8,4.5,44.81
Supplier_100,Fashion,4007,7.3,77,242,14,4.2,39.38
Supplier_101,Sports,3993,8.7,85,5,13,4.8,47.93
Supplier_102,Sports,12764,6.7,91,7,6,3.1,43.7
Supplier_103,Gardening,4563,7.4,74,23,7,3.5,40.24
Supplier_104,Gardening,3595,6.1,96,21,9,3.8,39.08
Supplier_105,Furniture,21137,7.4,94,2,12,4.2,48.55
Supplier_106,Solar,51745,6.7,99,1,11,4.3,54.06
Supplier_107,Industrial,78814,8.6,80,1,8,3.9,53.36
Supplier_108,Grocery,667,6.5,81,948,2,3.3,42.04
Supplier_109,Grocery,1127,7.3,85,667,3,3.7,41.54
Supplier_110,Fashion,879,9.7,81,201,1,4.8,63.85
Supplier_111,Phone,32212,9.5,96,11,13,3.5,48.87
Supplier_112,Music,110342,8.0,94,3,1,3.6,59.71
Supplier_113,Toys,218,7.7,89,100,8,3.9,42.1
Supplier_114,Music,44157,9.8,81,1,12,3.3,53.85
Supplier_115,Stationery,292,9.9,98,3627,5,3.2,51.4
Supplier_116,Stationery,253,9.6,78,970,4,4.4,48.93
Supplier_117,Fashion,3584,9.8,81,444,5,3.9,47.84
Supplier_118,Pets,5904,8.3,95,37,2,4.5,49.2
Supplier_119,Furniture,11363,8.3,97,1,7,4.6,56.23
Supplier_120,Phone,62627,9.7,93,20,14,3.3,47.32
Supplier_121,Music,37430,9.2,99,1,4,3.7,57.0
Supplier_122,Camera,148183,6.8,83,3,5,4.8,45.04
Supplier_123,Appliances,79817,9.9,71,1,6,5.0,56.52
Supplier_124,Auto,16505,6.9,78,7,12,3.6,38.82
Supplier_125,Music,98096,7.8,96,5,13,4.2,45.21
Supplier_126,Pets,4492,7.6,88,17,10,4.3,43.23
Supplier_127,Pets,4794,9.0,77,37,13,4.7,44.11
Supplier_128,Fashion,3911,8.2,95,146,8,4.0,44.27
Supplier_129,Phone,23042,7.8,73,11,3,4.3,42.83
Supplier_130,Stationery,218,7.8,94,2228,4,4.6,48.12
Supplier_131,Industrial,52922,7.1,91,4,7,5.0,44.57
Supplier_132,Music,46076,7.6,74,4,7,4.7,43.97
Supplier_133,Industrial,58783,7.4,92,4,9,3.9,43.31
Supplier_134,Grocery,340,9.5,82,194,9,4.6,45.65
Supplier_135,Solar,217777,7.3,91,1,10,3.8,54.13
Supplier_136,Appliances,97704,9.9,71,2,10,3.7,49.7
Supplier_137,Appliances,92095,8.9,84,2,14,4.4,50.93
Supplier_138,Toys,2997,6.9,82,46,14,4.6,41.59
Supplier_139,Pets,488,6.3,96,39,14,4.9,39.83
Supplier_140,Fashion,557,8.8,98,382,8,3.8,46.5
Supplier_141,Grocery,1982,7.0,99,224,8,4.8,42.98
Supplier_142,Skincare,3251,6.4,96,74,3,4.7,45.87
Supplier_143,Industrial,32255,9.2,79,3,4,4.4,51.25
Supplier_144,Stationery,182,8.1,79,1517,5,3.4,42.63
Supplier_145,Pets,2557,8.3,86,27,11,3.3,44.79
Supplier_146,Appliances,45392,7.5,96,1,14,3.3,51.36
Supplier_147,Industrial,69225,9.3,78,1,1,4.3,69.06
Supplier_148,Industrial,90376,6.8,86,3,12,3.9,43.31
Supplier_149,Appliances,14815,8.9,75,2,14,3.8,45.75
Supplier_150,Skincare,3880,7.9,99,30,4,3.7,46.83
Supplier_151,Sports,2352,9.4,76,17,10,4.3,44.56
Supplier_152,Music,67159,8.8,90,5,2,4.7,52.21
Supplier_153,Industrial,157521,7.3,83,2,10,4.6,47.44
Supplier_154,Music,135838,9.0,85,4,7,4.5,48.09
Supplier_155,Industrial,48110,6.1,75,2,8,3.4,41.41
Supplier_156,Kitchen,10598,9.0,89,6,1,4.0,61.0
Supplier_157,Kitchen,15887,8.4,77,25,7,4.8,43.05
Supplier_158,Music,118893,8.6,85,2,10,3.1,47.27
Supplier_159,Gardening,3221,6.3,100,90,13,4.2,42.36
Supplier_160,Industrial,161331,9.3,86,1,2,4.7,63.35
Supplier_161,Pets,2512,7.7,99,26,12,4.1,45.29
Supplier_162,Grocery,1680,7.0,78,951,13,3.7,36.61
Supplier_163,Camera,157168,9.3,93,1,12,4.6,56.97
Supplier_164,Grocery,979,9.4,71,173,2,4.6,51.03
Supplier_165,Gardening,1467,6.4,83,44,10,3.7,39.54
Supplier_166,Pets,3631,7.6,85,34,6,4.4,43.01
Supplier_167,Furniture,71042,9.4,74,1,12,4.7,61.0
Supplier_168,Pets,4711,10.0,81,49,9,4.5,48.99
Supplier_169,Gardening,1829,8.8,97,80,2,3.4,52.04
Supplier_170,Sports,5403,6.2,89,17,3,3.2,42.09
Supplier_171,Camera,21983,6.9,90,2,5,4.6,49.85
Supplier_172,Furniture,12994,6.9,91,3,7,3.5,42.83
Supplier_173,Solar,66162,8.0,82,3,2,3.7,49.73
Supplier_174,Industrial,51353,8.0,98,4,8,3.7,45.77
Supplier_175,Appliances,65398,7.4,94,3,8,3.5,44.37
Supplier_176,Pets,6891,7.6,75,22,9,3.0,37.85
Supplier_177,Auto,34265,6.5,76,5,1,3.8,52.0
Supplier_178,Skincare,4202,7.2,96,120,13,3.1,41.75
Supplier_179,Appliances,62523,9.4,74,1,10,3.6,53.53
Supplier_180,Appliances,13148,7.9,72,3,2,3.1,49.47
Supplier_181,Laptop,137568,7.5,71,3,13,4.6,41.64
Supplier_182,Auto,11795,8.2,74,19,1,3.7,50.62
Supplier_183,Fashion,4429,6.4,84,270,9,4.9,38.82
Supplier_184,Gardening,2423,8.1,100,71,8,3.7,46.26
Supplier_185,Sports,5381,6.9,81,40,7,3.4,39.28
Supplier_186,Stationery,196,8.4,90,657,4,3.8,45.54
Supplier_187,Gardening,2130,7.2,83,83,12,3.6,39.35
Supplier_188,Camera,127520,8.4,70,1,4,5.0,53.27
Supplier_189,Pets,6941,7.5,87,49,14,3.6,38.97
Supplier_190,Toys,1164,7.3,76,60,14,3.4,39.53
Supplier_191,Fashion,3754,7.2,92,269,11,4.3,42.56
Supplier_192,Furniture,6016,7.2,94,5,9,4.3,44.72
Supplier_193,Kitchen,3054,7.0,70,21,14,3.8,36.74
Supplier_194,Grocery,164,6.5,93,598,13,4.6,43.96
Supplier_195,Camera,209187,7.5,88,3,10,4.9,42.46
Supplier_196,Solar,400637,8.5,85,2,8,4.3,51.0
Supplier_197,Skincare,1493,7.4,97,93,7,4.4,45.24
Supplier_198,Music,85205,7.4,80,2,11,3.5,43.2
Supplier_199,Sports,11644,8.5,99,32,3,3.9,52.54
Supplier_200,Kitchen,3508,9.6,89,29,3,3.7,50.95
Supplier_201,Solar,247356,7.8,88,4,8,3.4,45.12
Supplier_202,Music,126801,8.9,97,4,2,4.1,54.65
Supplier_203,Camera,214899,9.7,75,2,6,4.3,52.22
Supplier_204,Toys,464,7.4,83,34,10,4.9,42.62
Supplier_205,Sports,13286,8.0,89,39,10,3.5,45.02
Supplier_206,Laptop,83066,6.2,91,6,11,4.9,41.98
Supplier_207,Appliances,94740,9.0,72,2,14,3.5,43.95
Supplier_208,Auto,17575,9.0,93,7,9,3.6,48.84
Supplier_209,Phone,89181,9.2,89,19,2,4.6,53.19
Supplier_210,Kitchen,2137,6.0,71,23,2,3.3,42.42
Supplier_211,Phone,84999,8.3,73,17,2,3.7,48.75
Supplier_212,Laptop,81670,6.0,74,5,14,4.0,36.32
Supplier_213,Solar,97208,8.7,73,4,14,3.1,41.48
Supplier_214,Fashion,2450,9.4,74,232,12,3.2,45.51
Supplier_215,Camera,136513,6.4,85,2,8,3.2,44.35
Supplier_216,Fashion,2528,8.3,95,265,1,3.0,57.02
Supplier_217,Laptop,103444,8.6,86,5,5,4.2,49.14
Supplier_218,Kitchen,9900,8.1,74,12,14,4.3,43.43
Supplier_219,Gardening,2153,8.4,82,64,4,4.3,45.35
Supplier_220,Phone,104676,8.8,80,20,4,4.0,47.77
Supplier_221,Appliances,66183,7.9,88,3,12,4.4,45.91
Supplier_222,Skincare,2763,6.8,94,198,10,3.4,39.18
Supplier_223,Skincare,4620,9.0,76,57,3,4.6,48.25
Supplier_224,Camera,225666,9.5,90,2,12,4.4,50.49
Supplier_225,Music,58649,6.5,80,5,2,4.6,48.51
Supplier_226,Industrial,169109,8.2,90,5,11,3.5,47.55
Supplier_227,Gardening,2437,6.2,84,40,9,4.0,38.0
Supplier_228,Skincare,1384,9.6,91,156,3,3.2,51.41
Supplier_229,Stationery,338,6.8,89,3183,10,3.4,39.99
Supplier_230,Stationery,291,9.2,80,3730,12,4.8,45.02
Supplier_231,Toys,2600,8.6,86,81,12,3.3,44.39
Supplier_232,Sports,5824,7.7,81,28,13,3.8,43.4
Supplier_233,Pets,803,6.5,94,22,5,4.0,43.82
Supplier_234,Fashion,1779,8.4,99,145,2,4.7,54.04
Supplier_235,Toys,4617,9.5,72,93,4,4.1,43.62
Supplier_236,Toys,8652,9.5,78,75,11,4.1,48.9
Supplier_237,Laptop,79315,7.0,90,9,9,4.3,40.41
Supplier_238,Pets,7641,9.9,97,37,12,4.1,52.41
Supplier_239,Pets,3624,8.0,95,17,6,4.3,46.96
Supplier_240,Toys,4245,7.4,91,30,6,3.7,43.42
Supplier_241,Solar,445710,9.5,80,2,14,4.7,53.12
Supplier_242,Phone,75881,6.8,86,5,12,3.5,41.47
Supplier_243,Sports,10873,7.9,75,10,3,4.6,47.19
Supplier_244,Phone,47375,6.5,94,6,8,3.2,42.7
Supplier_245,Camera,108913,8.5,71,3,14,4.7,43.0
Supplier_246,Furniture,41801,8.1,78,5,9,3.8,44.23
Supplier_247,Sports,2123,7.4,85,19,14,4.3,42.78
Supplier_248,Auto,24756,6.8,82,17,14,3.9,38.57
Supplier_249,Gardening,2651,9.9,87,34,14,3.9,47.03
Supplier_250,Gardening,1680,8.8,88,69,7,4.4,45.55
Supplier_251,Skincare,881,6.8,95,23,8,4.9,42.66
Supplier_252,Toys,1812,9.3,79,11,13,3.1,44.87
Supplier_253,Kitchen,13921,7.5,85,12,12,3.7,39.17
Supplier_254,Stationery,150,8.5,74,4378,14,3.8,42.49
Supplier_255,Auto,26048,6.6,80,12,7,3.6,41.64
Supplier_256,Furniture,21034,8.3,91,5,4,3.6,47.33
Supplier_257,Sports,2476,9.5,83,25,9,3.2,42.04
Supplier_258,Stationery,114,9.3,86,3812,4,4.7,48.31
Supplier_259,Laptop,41874,8.1,89,5,4,4.4,48.68
Supplier_260,Toys,3859,6.5,94,64,1,4.3,54.75
Supplier_261,Sports,11061,9.4,77,34,6,4.8,45.38
Supplier_262,Camera,105526,8.2,72,1,8,3.2,49.79
Supplier_263,Gardening,2330,9.9,89,19,8,4.3,48.49
Supplier_264,Pets,1268,8.7,81,14,4,4.9,47.85
Supplier_265,Solar,231544,8.9,80,2,1,3.3,60.82
Supplier_266,Skincare,4954,6.2,98,27,4,4.3,42.72
Supplier_267,Sports,4177,8.6,81,5,1,4.2,56.91
Supplier_268,Fashion,2617,6.5,100,193,2,3.9,47.46
Supplier_269,Gardening,2091,6.2,72,60,9,4.8,35.97
Supplier_270,Camera,46374,8.3,78,3,11,4.1,46.42
Supplier_271,Fashion,2112,8.7,99,70,11,3.4,45.78
Supplier_272,Sports,3194,8.8,70,43,1,4.4,55.32
Supplier_273,Furniture,62355,6.3,96,3,10,4.6,45.7
Supplier_274,Skincare,2620,7.8,96,174,6,3.3,45.27
Supplier_275,Phone,76293,6.4,79,9,10,3.5,38.31
Supplier_276,Sports,7943,9.5,76,32,6,3.5,43.8
Supplier_277,Industrial,160035,7.0,70,1,9,3.9,49.07
Supplier_278,Toys,870,7.7,80,11,6,4.2,44.15
Supplier_279,Industrial,135999,8.9,98,1,6,3.8,57.19
Supplier_280,Stationery,317,7.3,94,1122,13,3.8,43.22
Supplier_281,Industrial,70884,8.3,93,1,1,3.7,70.6
Supplier_282,Skincare,756,8.1,73,22,3,4.2,48.43
Supplier_283,Laptop,118827,8.5,72,8,3,3.0,46.59
Supplier_284,Furniture,69827,9.3,91,3,8,4.0,53.0
Supplier_285,Grocery,628,9.9,89,220,8,3.4,50.05
Supplier_286,Industrial,12030,8.4,99,1,13,4.0,55.45
Supplier_287,Grocery,247,8.2,100,622,6,4.7,48.9
Supplier_288,Gardening,3982,6.9,75,11,9,4.8,38.53
Supplier_289,Appliances,65265,8.5,97,2,1,4.8,63.3
Supplier_290,Toys,6723,7.0,87,79,3,3.7,39.53
Supplier_291,Laptop,113283,8.4,83,8,9,4.1,45.45
Supplier_292,Camera,218943,10.0,91,3,8,4.7,54.34
Supplier_293,Grocery,1255,7.2,100,298,11,3.3,42.77
Supplier_294,Sports,7168,7.8,81,10,9,4.6,40.12
Supplier_295,Industrial,10912,7.1,100,2,7,4.8,52.15
Supplier_296,Grocery,651,6.9,77,803,5,3.5,39.56
Supplier_297,Grocery,70,9.4,96,128,13,4.1,48.18
Supplier_298,Phone,91576,7.4,75,6,2,3.9,46.71
Supplier_299,Kitchen,16071,9.0,71,16,1,3.4,56.17
Supplier_300,Camera,178396,6.2,78,2,8,4.3,44.39
Supplier_301,Camera,224445,7.3,90,1,5,5.0,54.34
Supplier_302,Pets,6834,6.8,97,21,5,4.1,44.95
Supplier_303,Laptop,86708,6.6,98,3,7,4.3,45.47
Supplier_304,Camera,28159,8.2,71,1,4,5.0,52.97
Supplier_305,Laptop,68597,8.9,90,5,11,4.4,44.98
Supplier_306,Kitchen,13981,6.3,75,12,4,3.2,39.81
Supplier_307,Stationery,486,6.2,83,947,14,4.2,37.23
Supplier_308,Stationery,142,7.9,84,767,1,4.6,55.89
Supplier_309,Pets,4730,7.6,83,37,6,4.0,42.69
Supplier_310,Phone,19305,8.8,70,6,14,5.0,44.93
Supplier_311,Furniture,35133,7.0,86,3,12,3.2,41.64
Supplier_312,Toys,6909,6.4,83,19,7,3.1,38.81
Supplier_313,Pets,864,7.9,81,31,11,4.3,39.4
Supplier_314,Laptop,137854,9.2,95,9,9,3.9,48.41
Supplier_315,Gardening,3782,7.4,100,29,9,4.9,44.53
Supplier_316,Grocery,211,6.7,88,839,12,3.0,38.5
Supplier_317,Toys,7040,8.5,87,78,13,3.3,40.65
Supplier_318,Grocery,1231,7.0,91,270,4,4.2,44.56
Supplier_319,Gardening,3748,6.8,91,30,2,4.8,47.34
Supplier_320,Gardening,3669,6.5,73,96,13,4.8,35.39
Supplier_321,Sports,5877,9.6,95,42,5,4.9,50.38
Supplier_322,Furniture,19497,7.3,75,1,1,3.1,60.15
Supplier_323,Stationery,78,7.7,78,2788,8,4.7,39.69
Supplier_324,Grocery,316,9.8,96,105,12,4.6,48.37
Supplier_325,Music,24558,8.3,77,1,9,3.5,52.46
Supplier_326,Gardening,4116,7.0,99,57,10,3.5,44.74
Supplier_327,Toys,8269,7.1,72,25,1,3.2,50.25
Supplier_328,Furniture,38056,7.4,72,3,8,4.4,40.65
Supplier_329,Camera,233851,6.9,93,3,14,4.6,44.61
Supplier_330,Kitchen,505,8.8,76,28,2,4.2,49.49
Supplier_331,Toys,4135,7.6,83,66,1,4.8,53.72
Supplier_332,Industrial,144051,7.9,73,5,12,4.6,44.1
Supplier_333,Gardening,1353,8.4,94,71,12,4.9,45.67
Supplier_334,Stationery,497,6.1,84,3482,14,3.3,33.12
Supplier_335,Sports,14813,6.9,95,16,9,3.0,43.5
Supplier_336,Phone,25579,8.7,82,7,8,4.6,46.48
Supplier_337,Music,73397,6.4,71,5,5,4.1,38.75
Supplier_338,Industrial,26683,9.1,99,2,10,3.3,51.81
Supplier_339,Pets,4484,6.5,86,17,11,4.6,40.34
Supplier_340,Skincare,2351,9.1,90,121,10,4.6,47.4
Supplier_341,Industrial,189897,9.7,100,2,7,4.4,55.62
Supplier_342,Music,22564,9.6,81,2,1,4.3,64.93
Supplier_343,Laptop,143758,8.4,83,8,10,4.3,45.13
Supplier_344,Pets,6856,7.1,75,46,3,4.4,43.17
Supplier_345,Sports,8557,6.6,93,19,11,4.1,41.0
Supplier_346,Skincare,2517,8.2,83,176,7,3.2,42.24
Supplier_347,Industrial,152160,7.9,93,4,13,3.2,44.05
Supplier_348,Skincare,2889,10.0,71,57,11,3.9,44.95
Supplier_349,Skincare,2660,6.3,73,67,12,3.8,37.4
Supplier_350,Phone,74114,7.4,83,9,9,3.3,40.73
Supplier_351,Furniture,52425,7.4,91,5,5,3.3,46.05
Supplier_352,Appliances,69138,7.5,78,2,10,3.7,44.04
Supplier_353,Laptop,131346,7.8,85,1,6,3.3,54.55
Supplier_354,Phone,66450,7.9,85,5,12,3.8,41.22
Supplier_355,Grocery,206,8.9,96,951,8,3.3,48.99
Supplier_356,Phone,47296,7.3,78,13,14,4.5,38.04
Supplier_357,Appliances,39015,8.4,72,3,4,4.9,47.8
Supplier_358,Sports,9167,9.2,88,50,4,3.2,49.32
Supplier_359,Appliances,56852,6.5,100,1,13,4.4,50.35
Supplier_360,Skincare,680,9.9,75,86,14,3.3,44.35
Supplier_361,Phone,66350,7.5,98,15,10,4.2,45.29
Supplier_362,Toys,8430,9.0,78,21,14,4.0,43.75
Supplier_363,Sports,6664,7.9,94,32,1,3.6,58.2
Supplier_364,Fashion,3512,6.6,96,97,3,3.8,44.11
Supplier_365,Kitchen,18671,6.9,72,30,6,4.4,38.19
Supplier_366,Fashion,2993,6.1,80,185,9,3.3,36.75
Supplier_367,Appliances,67447,9.2,98,3,3,4.5,55.37
Supplier_368,Toys,7300,8.1,73,86,12,3.8,42.27
Supplier_369,Skincare,2713,8.2,75,184,3,4.2,46.06
Supplier_370,Furniture,26949,8.5,85,3,7,4.4,48.64
Supplier_371,Grocery,540,7.6,81,443,10,4.1,40.57
Supplier_372,Skincare,3849,6.6,84,82,3,4.8,46.27
Supplier_373,Industrial,180620,9.1,87,4,6,3.4,46.93
Supplier_374,Kitchen,8900,6.6,94,12,4,4.1,44.37
Supplier_375,Kitchen,3941,6.9,86,17,3,4.3,45.47
Supplier_376,Sports,4291,7.9,75,9,2,4.1,46.11
Supplier_377,Fashion,3014,7.1,86,138,12,3.8,39.19
Supplier_378,Camera,30869,6.2,92,2,7,3.8,45.39
Supplier_379,Furniture,71086,9.9,71,2,13,4.9,51.09
Supplier_380,Appliances,50893,9.1,81,3,8,4.9,47.95
Supplier_381,Furniture,38358,6.5,95,4,14,3.3,40.19
Supplier_382,Grocery,1098,6.5,92,490,7,4.7,42.01
Supplier_383,Camera,206118,7.4,94,2,6,3.1,49.71
Supplier_384,Stationery,404,9.9,82,1369,9,5.0,48.85
Supplier_385,Skincare,1066,8.2,78,105,10,4.2,44.86
Supplier_386,Kitchen,17961,9.4,76,11,10,3.4,45.23
Supplier_387,Pets,4575,8.0,92,36,12,3.3,42.31
Supplier_388,Fashion,1958,9.1,83,394,8,3.3,45.12
Supplier_389,Pets,642,8.1,73,46,5,4.5,43.42
Supplier_390,Appliances,19235,7.0,86,3,13,4.6,44.78
Supplier_391,Toys,2370,8.6,74,62,1,3.5,56.24
Supplier_392,Sports,11554,6.1,95,14,4,4.8,42.25
Supplier_393,Kitchen,8158,7.9,95,16,14,4.3,44.61
Supplier_394,Industrial,165353,9.9,98,4,1,3.7,66.53
Supplier_395,Music,129132,8.9,74,2,4,3.6,50.75
Supplier_396,Stationery,484,9.0,70,3253,1,4.4,54.88
Supplier_397,Sports,11406,6.3,98,18,12,4.4,42.21
Supplier_398,Camera,192316,7.2,72,3,6,4.6,42.19
Supplier_399,Pets,5739,8.0,75,41,14,3.5,42.71
Supplier_400,Furniture,9224,7.4,92,4,2,4.1,52.12
Supplier_401,Pets,426,9.9,72,41,7,3.3,45.1
Supplier_402,Industrial,149843,6.8,99,3,8,3.3,45.81
Supplier_403,Kitchen,4530,8.8,98,15,3,3.5,50.15
Supplier_404,Appliances,21306,9.4,78,1,2,3.9,58.42
Supplier_405,Grocery,641,9.7,94,924,1,3.9,63.54
Supplier_406,Camera,82157,6.2,91,3,12,4.0,43.56
Supplier_407,Music,106885,9.9,76,2,12,3.9,53.12
Supplier_408,Fashion,4822,7.0,93,125,6,3.9,41.92
Supplier_409,Kitchen,3795,8.6,98,10,13,4.6,50.34
Supplier_410,Music,119800,9.8,81,2,4,3.5,51.11
Supplier_411,Industrial,58692,6.7,91,2,11,3.6,42.69
Supplier_412,Grocery,1359,7.6,97,601,8,4.0,43.14
Supplier_413,Music,133504,6.8,99,5,5,5.0,48.44
Supplier_414,Kitchen,11861,6.7,72,20,2,4.1,41.99
Supplier_415,Stationery,6,8.6,95,4517,5,4.8,69.51
Supplier_416,Stationery,480,8.6,81,3498,14,4.2,43.25
Supplier_417,Auto,36369,6.0,96,17,4,5.0,41.52
Supplier_418,Fashion,3039,9.7,95,57,8,3.0,49.82
Supplier_419,Stationery,437,8.2,78,2494,10,3.9,41.8
Supplier_420,Furniture,67562,8.4,78,3,9,5.0,45.88
Supplier_421,Auto,3730,8.6,84,15,2,3.2,48.65
Supplier_422,Solar,282288,8.0,89,1,2,3.2,57.68
Supplier_423,Auto,27130,6.1,82,4,11,3.4,37.75
Supplier_424,Phone,86729,6.6,77,6,8,4.6,38.75
Supplier_425,Gardening,1033,7.8,92,52,13,4.5,43.2
Supplier_426,Industrial,67608,10.0,83,4,10,3.3,47.44
Supplier_427,Phone,99580,7.6,80,14,9,3.4,44.38
Supplier_428,Camera,81071,6.1,72,2,1,3.1,51.15
Supplier_429,Auto,30302,9.4,83,2,5,4.2,52.21
